Longitude,Latitude,Value
87.619915,27.36369,0
87.31969,26.93175,0
81.81611111,29.97166667,0
84.980065,27.164258,0
81.97491667,28.02986111,0
84.102068,28.355852,0
84.58525556,27.72113611,0
83.786475,27.468507,0
87.152283,26.855192,0
82.70130306,28.12844194,0
85.671111,27.861111,0
86.61385,26.896269,0
81.33074444,28.78096944,0
86.21,26.65,0
85.917228,26.709665,0
86.23211389,27.63044722,0
83.729894,28.784025,0
83.72083,28.779846,0
82.19415,29.27396667,0
83.72636111,27.80605556,0
82.818543,28.986586,0
85.937818,27.070204,0
86.6153207,26.6538749,0
87.874507,26.686394,0
88.078,26.868,0
86.193569,27.756831,0
88.001003,26.731641,0
83.74819722,28.17726667,0
85.48107,27.670843,0
85.721265,27.087594,0
85.52039,27.691733,0
87.986409,26.684103,0
80.49741194,29.4973,0
82.145146,29.522221,0
86.0846,27.6361,0
83.245711,28.054775,0
83.5376502,27.8621931,0
87.278648,26.698692,0
85.554444,27.999318,0
84.377768,28.468728,0
85.36970833,27.659325,0
82.72918611,28.24721944,0
83.4833441,27.6528538,0
87.15986,26.91424278,0
85.92089722,27.01295556,0
87.20433333,27.30127778,0
86.53967778,26.91295278,0
87.53619,27.12304,0
85.4741733,27.7413055,0
86.713376,27.814942,0
86.878376,26.764039,0
80.223685,28.938294,0
85.431115,27.750066,0
85.363756,27.7405709,0
85.0012,27.0354,0
85.5162,27.6609,0
86.20528,27.905278,0
86.05911,27.39129,0
85.44511389,26.92800556,0
85.1496,27.619,0
85.525195,28.019277,0
84.712588,27.075939,0
81.25705,29.1347,0
81.82144444,28.78022222,0
82.632953,28.308792,0
87.28919444,27.15338889,0
84.003929,28.177433,0
86.477648,26.732702,0
86.44435778,27.21472694,0
84.34494167,28.12677778,0
85.17534722,27.07456667,0
85.289743,27.681669,0
85.325693,27.651677,0
84.35640278,28.28220833,0
86.843298,27.029247,0
83.12980556,27.92205556,0
81.59030556,28.11368333,0
87.20438389,27.39106194,0
87.412499,26.761609,0
82.63231389,28.30619722,0
81.615126,29.141411,0
86.72817,27.68639,0
85.484083,27.133046,0
84.5916,27.971,0
84.9,28.36666667,0
87.92308333,26.90963889,0
82.601823,29.115955,0
84.0889,28.639877,0
85.025209,27.420213,0
85.203011,27.333088,0
87.37074778,26.61000889,0
80.28619194,28.96643389,0
83.239843,28.58179,0
85.86016,27.865346,0
81.34521111,28.21278611,0
86.347441,26.835899,0
83.650153,27.930261,0
84.37916667,28.54305556,0
85.37883333,27.59291667,0
87.9231,26.9095,0
83.319387,28.504058,0
81.4417,28.9528,0
88.00375,26.39616667,0
83.27611111,27.47027778,0
83.909121,28.523915,0
87.15472222,26.93805556,0
85.273992,26.832106,0
85.55730833,26.85282222,0
81.91056944,29.20060556,0
84.434556,27.677386,0
84.22817,27.680534,0
81.280054,28.4485859,0
83.31313889,27.8075,0
81.47944444,29.45611111,0
85.6468599,27.965573,0
88.155149,26.789121,0
85.89998583,27.78868083,0
87.447708,26.590157,0
82.803056,27.876389,0
83.60032222,28.26363611,0
83.4669,27.972,0
81.1027322,28.6807977,0
87.1892,27.311975,0
86.902994,26.621054,0
84.812925,28.043503,0
83.85761111,27.78261111,0
83.32046694,28.12424389,0
84.991582,27.282872,0
86.74861,27.35833,0
80.41317389,29.55743694,0
85.164311,27.722878,0
84.41,27.95,0
84.8782,27.0232,0
85.5654519,27.6159205,0
86.481108,26.787155,0
81.14278111,28.62827889,0
84.744354,28.200747,0
85.632553,27.901559,0
84.878054,27.803136,0
85.566385,27.857188,0
85.31303333,26.7671,0
80.761787,28.890679,0
80.93690083,29.26209694,0
87.715333,26.570813,0
86.267263,26.987184,0
83.95603056,27.86541111,0
84.58002778,28.14750556,0
82.15427778,29.55030556,0
80.599,29.159,0
83.41881111,28.21869167,0
86.65,27.26,0
87.98611111,26.76777778,0
85.78333333,26.88333333,0
80.925143,29.246477,0
82.10744444,29.43111111,0
85.5056545,27.9493782,0
85.4753,27.368,0
83.43769722,28.07040278,0
83.398854,27.505331,0
82.79119167,27.66993611,0
84.383056,28.233056,0
85.5715,27.7922,0
86.372887,27.9031714,0
85.455791,27.807245,0
87.34595556,26.98321944,0
85.6242,27.8127,0
81.33784167,28.33735833,0
84.99817,27.43276,0
85.260076,27.215511,0
87.796,27.027,0
86.568568,27.44321694,0
84.815472,27.196176,0
81.62880278,28.69442778,0
85.078061,27.279978,0
80.62386694,29.21137583,0
84.54938056,27.86741111,0
86.5870178,27.5123304,0
82.14225111,28.38210306,0
83.12056944,27.96402222,0
83.978212,28.195441,0
85.65964167,27.09985278,0
83.66218333,27.51925,0
85.32415,27.72863611,0
83.79723333,28.22896944,0
83.77019722,28.13558056,0
87.292473,27.046316,0
81.28313389,29.155945,0
86.504225,27.30812083,0
87.285198,27.55534778,0
85.18584,27.184582,0
85.84864444,27.419825,0
84.476667,28.076181,0
87.765595,27.14367389,0
80.55995111,28.81272889,0
86.583547,26.802167,0
80.58444,28.75333,0
83.778701,27.679912,0
81.1472843,28.4719979,0
80.53884806,29.84287806,0
83.385413,28.41354,0
82.161389,29.358972,0
85.091965,27.604389,0
87.256456,26.483642,0
87.698824,26.662324,0
81.71,28.838,0
80.58778,29.30167,0
83.816487,28.417167,0
85.378889,27.593056,0
86.14513889,26.93022222,0
85.408021,27.15852,0
88.075144,26.570391,0
85.95972,27.861439,0
81.208,29.15,0
85.352159,27.764588,0
85.524275,27.924032,0
83.084485,28.397338,0
80.656015,29.41647389,0
82.484156,28.03719889,0
86.3035108,26.948151,0
83.1397,27.885,0
